Speed_21km Nutrition Age_Scl Sex ShoeBrand
10.39 0.74 0.47 Male NewBalance
10 0.3 0.52 Female Nike
9.06 1.4 0.39 Female Nike
8.74 1.03 0.48 Female NewBalance
10.31 0.54 0.47 Male Nike
11 1.69 0.4 Female Nike
11.96 1.06 0.52 Male Nike
9.55 1.19 0.53 Male Nike
11.27 1.11 0.27 Female NewBalance
10.32 0.59 0.42 Male NewBalance
7.75 0.85 0.55 Male Nike
14.58 1.21 0.41 Male NewBalance
12.91 1.28 0.41 Male Nike
10.38 1.15 0.33 Male NewBalance
7.41 0.87 0.38 Female Nike
12.49 2.07 0.35 Female Nike
8.09 0.86 0.53 Female Nike
13.42 0.69 0.49 Male Nike
12.71 0.88 0.48 Male NewBalance
12.04 1.11 0.46 Male Nike
9.67 2.18 0.34 Male NewBalance
9.84 1.01 0.44 Female Nike
10.4 1.27 0.4 Male NewBalance
9.55 0.88 0.34 Female Nike
9.18 0.97 0.48 Male NewBalance
12.38 1.64 0.34 Female NewBalance
9.91 0.79 0.48 Female Nike
11.05 1.04 0.41 Male NewBalance
9.75 0.82 0.55 Male Nike
12.49 1.08 0.36 Female NewBalance
16.07 1.49 0.33 Male NewBalance
11.6 1.06 0.3 Female Nike
9.62 1.33 0.34 Male NewBalance
8.96 1.1 0.55 Female NewBalance
10.88 0.89 0.49 Male NewBalance
12.25 0.84 0.46 Female Nike
10.63 0.8 0.26 Male Nike
9.62 0.79 0.53 Female Nike
13.51 1.79 0.3 Male Nike
13.61 0.93 0.35 Male Nike
11.7 1.32 0.41 Male NewBalance
7.81 0.96 0.57 Male NewBalance
10 1.19 0.5 Male Nike
10.66 1.24 0.32 Female Nike
8.59 0.82 0.44 Female Nike
11.82 0.98 0.32 Female NewBalance
8.19 0.87 0.42 Female Nike
9.39 0.71 0.47 Male NewBalance
11.65 1.12 0.27 Female NewBalance
14.64 0.94 0.56 Male Nike
12.28 0.56 0.47 Male Nike
12.65 0.76 0.28 Male Nike
9.61 0.28 0.52 Male Nike
9.19 1.28 0.43 Male Nike
13.08 0.61 0.42 Male Nike
18.94 0.93 0.36 Male NewBalance
16.98 1.02 0.31 Male Nike
12.37 0.57 0.47 Female Nike
13.3 0.78 0.36 Female Nike
8.34 0.69 0.5 Female NewBalance
8.9 1.24 0.32 Female NewBalance
13.14 0.85 0.44 Male NewBalance
10.52 1.34 0.39 Female NewBalance
12.16 1.36 0.34 Male NewBalance
11.37 1.01 0.46 Male Nike
13.84 0.64 0.37 Male NewBalance
13.91 1.15 0.46 Male Nike
9.61 1.21 0.38 Female Nike
8.79 0.64 0.48 Male NewBalance
9.16 0.81 0.45 Female NewBalance
9.16 0.77 0.55 Female NewBalance
11.35 1.16 0.42 Female NewBalance
12.58 0.71 0.4 Male Nike
12.28 1.58 0.34 Male NewBalance
12.1 0.83 0.32 Female Nike
11.76 1.75 0.4 Female NewBalance
9.73 1.56 0.53 Female NewBalance
8.44 0.36 0.45 Female NewBalance
12.08 0.92 0.42 Male NewBalance
12.75 0.82 0.43 Male NewBalance
12.24 0.83 0.49 Female Nike
7.59 1.26 0.35 Male Nike
10.59 0.85 0.53 Male Nike
12.68 1.45 0.34 Male Nike
16.12 1.07 0.31 Male NewBalance
9.54 1.13 0.49 Male NewBalance
11.17 1.76 0.42 Male Nike
8.97 0.95 0.5 Male NewBalance
12.18 1.08 0.48 Male Nike
13.81 0.89 0.55 Female NewBalance
10.56 1.03 0.5 Male NewBalance
10.1 0.75 0.3 Male Nike
11.96 1.22 0.47 Female Nike
12.13 0.48 0.55 Female NewBalance
11.2 1.13 0.33 Female NewBalance
8.91 0.68 0.43 Male Nike
15.56 1.01 0.34 Male NewBalance
12.28 0.78 0.47 Male Nike
12.33 1.37 0.52 Male NewBalance
16.04 1.35 0.2 Male NewBalance
10.95 1.11 0.3 Male Nike
8.98 0.81 0.51 Female NewBalance
10.86 1.42 0.47 Female NewBalance
9.33 0.79 0.42 Female Nike
12.91 0.77 0.4 Male NewBalance
11.5 0.65 0.64 Female NewBalance
10.79 0.96 0.43 Female Nike
12.1 1.15 0.24 Male NewBalance
12.24 1.2 0.27 Female Nike
9.93 0.9 0.35 Female Nike
9.06 0.93 0.55 Female NewBalance
11.75 1.04 0.59 Male Nike
11.96 0.73 0.34 Male NewBalance
10.19 0.96 0.42 Female NewBalance
11.46 0.63 0.54 Male Nike
10.73 1.01 0.36 Female Nike
6.62 1.07 0.58 Female NewBalance
8.41 0.86 0.59 Female Nike
7.76 1.14 0.39 Female NewBalance
11.42 0.6 0.46 Female NewBalance
8.83 0.67 0.62 Male Nike
10.24 1.26 0.33 Female NewBalance
13.27 0.72 0.41 Male NewBalance
11.36 0.75 0.46 Female NewBalance
11.53 1.01 0.34 Female NewBalance
12.16 1.19 0.41 Female NewBalance
10.94 0.76 0.31 Female NewBalance
14.36 1.05 0.24 Male Nike
10.11 0.95 0.57 Male Nike
9.76 1.14 0.38 Male Nike
15.89 0.66 0.59 Male Nike
12.01 0.89 0.37 Male Nike
10.7 1.38 0.44 Male NewBalance
9.72 0.55 0.43 Female Nike
17.4 1.25 0.34 Male Nike
12.77 1.42 0.33 Female NewBalance
12.76 1.12 0.33 Male Nike
12.48 0.76 0.43 Male Nike
14.19 0.84 0.24 Male Nike
