Speed_21km Nutrition Age_Scl Sex ShoeBrand
8.5 0.47 0.52 Male Nike
14.75 1.34 0.41 Male NewBalance
9.66 0.93 0.39 Female Nike
10.48 0.69 0.37 Female Nike
14.41 0.71 0.48 Male NewBalance
12.41 1.11 0.27 Male Nike
11.91 0.48 0.47 Male Nike
10.08 0.56 0.4 Male Nike
10.97 0.74 0.34 Male NewBalance
9.93 0.84 0.39 Male NewBalance
10.36 0.75 0.6 Female Nike
11.91 0.92 0.49 Male Nike
9.51 0.85 0.61 Male NewBalance
14.68 1 0.43 Male NewBalance
9.65 0.5 0.6 Female Nike
10.53 1.12 0.35 Male Nike
12.95 1.34 0.21 Female NewBalance
12.47 0.88 0.32 Male Nike
10.11 0.58 0.48 Male Nike
13.33 0.79 0.41 Male NewBalance
14.82 0.94 0.36 Female NewBalance
14.28 0.51 0.5 Female Nike
11.92 0.66 0.35 Female Nike
7.7 0.84 0.46 Female Nike
12.76 0.78 0.58 Male NewBalance
15.21 0.85 0.39 Male Nike
11.3 1.39 0.4 Female Nike
11.1 0.52 0.46 Female Nike
9.1 0.78 0.39 Male Nike
11.92 0.88 0.48 Male NewBalance
11.87 1.1 0.55 Male NewBalance
15.21 1.73 0.35 Male Nike
10.15 1.21 0.49 Male Nike
12.61 1.25 0.5 Male Nike
12.09 1.22 0.29 Male Nike
11.55 1.5 0.43 Male NewBalance
14.59 0.95 0.46 Male NewBalance
9.36 1.17 0.41 Male NewBalance
10.49 0.84 0.48 Male Nike
8.12 0.68 0.57 Female Nike
12.75 1.15 0.39 Male Nike
12.27 0.6 0.42 Male NewBalance
8.1 0.39 0.78 Female NewBalance
11.31 0.98 0.54 Male Nike
12.97 1.35 0.45 Female NewBalance
8.03 1.04 0.49 Female NewBalance
14.23 0.72 0.47 Male NewBalance
13.65 0.72 0.31 Female NewBalance
12.26 0.89 0.42 Female NewBalance
9.48 0.76 0.39 Female Nike
16.01 1.2 0.46 Male Nike
10.78 1.53 0.32 Female NewBalance
6.99 1.38 0.51 Female NewBalance
14.19 0.85 0.44 Male Nike
8.39 0.79 0.47 Male NewBalance
11.72 1.13 0.36 Male Nike
10.56 0.99 0.37 Male Nike
9.38 0.64 0.57 Male NewBalance
10.87 0.92 0.56 Male Nike
11.69 1.27 0.38 Male NewBalance
13.26 1.11 0.41 Male NewBalance
14.76 1 0.33 Female Nike
9.47 0.86 0.46 Male NewBalance
10.53 1.12 0.48 Male Nike
9.6 0.77 0.62 Female NewBalance
11.05 0.86 0.39 Male NewBalance
10.62 1.01 0.39 Male NewBalance
9.24 1.11 0.48 Female NewBalance
11.2 0.66 0.5 Male Nike
13.3 0.45 0.3 Male Nike
16.13 1.25 0.34 Female Nike
9.04 0.86 0.56 Female NewBalance
13.03 1.45 0.28 Female Nike
10.52 0.59 0.49 Male Nike
10.64 0.92 0.25 Female Nike
7.9 1.12 0.6 Female NewBalance
13.08 1.25 0.34 Female Nike
8.88 0.86 0.43 Male Nike
11.92 0.85 0.4 Female Nike
13.01 0.66 0.35 Female Nike
11.68 0.98 0.48 Female Nike
10.26 1.54 0.49 Male Nike
9.15 0.69 0.5 Female NewBalance
17.29 1.25 0.43 Male Nike
14.82 1.06 0.41 Male Nike
7.45 1.21 0.52 Female Nike
10.28 1.23 0.39 Female Nike
12.61 1.09 0.41 Male NewBalance
14.86 0.9 0.3 Male NewBalance
8.84 1.52 0.38 Female Nike
8.62 0.46 0.54 Female Nike
8.78 1.05 0.3 Female NewBalance
12.21 0.97 0.4 Female Nike
10.37 1.24 0.44 Female NewBalance
8.08 1.31 0.39 Male Nike
10.58 0.9 0.41 Female NewBalance
11.2 1.29 0.4 Male Nike
13.9 0.82 0.41 Male NewBalance
14.57 1.35 0.4 Male NewBalance
11.14 0.86 0.49 Male Nike
